,index,image_link,group_id,entity_name,OCR Text,prediction
10,10,https://m.media-amazon.com/images/I/213oP6n7jtL.jpg,953313,item_weight,SULEFLAMHES 1TB..,
15,15,https://m.media-amazon.com/images/I/216rjgJHAeL.jpg,279307,item_weight,,
17,17,https://m.media-amazon.com/images/I/218BCzgKxuL.jpg,348551,item_weight,Black Red Green 208-240V . . 16A 60Hz L1 L2 GND Black White Green,
29,29,https://m.media-amazon.com/images/I/21Raw7jSIML.jpg,957050,item_weight,"16"" 2.62 lbs Large Screen Uttra-Lightweight Body",
30,30,https://m.media-amazon.com/images/I/21Vc5ixqKpS.jpg,486636,item_weight,O! 9cm/3% 19cm/71/,
31,31,https://m.media-amazon.com/images/I/21W7FvftSCL.jpg,329793,item_weight,90 mm/4' 200mm/8,
35,35,https://m.media-amazon.com/images/I/21bfrFeArAL.jpg,601746,item_weight,3bs,
51,51,https://m.media-amazon.com/images/I/21pFwZ8ghkL.jpg,955292,item_weight,"200mm/8"" HSOH",
56,56,https://m.media-amazon.com/images/I/21qleENrBBL.jpg,953313,item_weight,,
66,66,https://m.media-amazon.com/images/I/21xX4tzOqKL.jpg,953313,item_weight,Ekingston SOUIO-STAE DRIVE A400 10x 3 1.92TB Kingston FRUESS,
80,80,https://m.media-amazon.com/images/I/31+KMtY+QXL.jpg,630390,item_weight,,
82,82,https://m.media-amazon.com/images/I/31+NHijx4tL.jpg,933453,item_weight,11.1lb/5.05 kg Super Lightweight,
89,89,https://m.media-amazon.com/images/I/31+kevQrOnL.jpg,860821,item_weight,"The Higher the CFM, the greater the air movement CFM Cubicroe LessAir 50 60 80 90 100110 130 More Air",
94,94,https://m.media-amazon.com/images/I/31+zdbOuiTL.jpg,279307,item_weight,antralYaren Ceplacemer Bags Devil CV1500,
108,108,https://m.media-amazon.com/images/I/31-W0zT17nL.jpg,628971,item_weight,Turkev Honey Brown rusao ..,
111,111,https://m.media-amazon.com/images/I/31014HApIqL.jpg,411423,item_weight,365 Organic Hoisin SAUCE,
113,113,https://m.media-amazon.com/images/I/3101lgy28BL.jpg,219211,item_weight,SMART SERIESPOWER SUPPLY SMARTBX1650W,
114,114,https://m.media-amazon.com/images/I/3105qskWRcL.jpg,219211,item_weight,ZIPPY TECHNOLOGY Server Grade Power P2H-5500V 2U 500w Power Supply Uni,
120,120,https://m.media-amazon.com/images/I/310BVU1bXvL.jpg,308856,item_weight,esar Grilled Steak & Eggs Flavor PEEF Classic Loaf nes METT1(3.502),
124,124,https://m.media-amazon.com/images/I/310Qevq+VSL.jpg,630390,item_weight,SUPPLEMENTS.co BULK Whey Protein kg (35.27t EMENT FACTN,
125,125,https://m.media-amazon.com/images/I/310Th3tbqRL.jpg,494500,item_weight,12V,
129,129,https://m.media-amazon.com/images/I/310X-ftA6SL.jpg,933453,item_weight,Lightweight at only 7.8 Ibs MAXI-COSI,
159,159,https://m.media-amazon.com/images/I/311KDyOGX-L.jpg,957050,item_weight,"0.7"" 2.311b Thin Lightweight",
170,170,https://m.media-amazon.com/images/I/311nVBb35CL.jpg,279307,item_weight,3 disposable EUREKA dust bags GEMANO SL,
172,172,https://m.media-amazon.com/images/I/311uqJG-v3L.jpg,308671,item_weight,JSTRINGKING 8.50 METAL 34IN310Z2%N,
176,176,https://m.media-amazon.com/images/I/312DIk+dXDL.jpg,279307,item_weight,Ceine Fier Media 3609W BAGS WDUSTI otalVac Shop Vac All Around Type Bags Sacs Bolsas A,
185,185,https://m.media-amazon.com/images/I/313P9jCeUEL.jpg,411423,item_weight,Glaze HADDAR,
190,190,https://m.media-amazon.com/images/I/313ZWJXgMXL.jpg,276075,item_weight,CLINIQUE doubla face powder superpowder doutle effet superpoudre POOSNETW.35OZ,
199,199,https://m.media-amazon.com/images/I/3141MAkuatL.jpg,926134,item_weight,BUTTER 2.8 in CRCALTED 7cm TW655,
208,208,https://m.media-amazon.com/images/I/314FxsDUTFL.jpg,411423,item_weight,LEE KUM-KEE BLACK BEAN GARLIC SAUCE,
211,211,https://m.media-amazon.com/images/I/314NPHTZhwL.jpg,628971,item_weight,"Nutrition AnoertSening % Daly valar* oewSening N Dally voe Facts Total Fat 3.5g 5% Total Carbohydrate 37g 12% Saturated Fat 0.5g 3% Dietary Fiber 2g 7% TotlFat Less Than Caloties 1,000 llee 500 Serving Sze 1ay (312g) Tans Fat Og Sugars 10g SituratdFa Lesa Then Servings Per Cortainer 1 Cholesterol 65mg 22% Protein 19g 39% Les Than Cories 200 Sodun Sodium 280mg 11% tal Catohydriec Leas Thun Calories from Fat 30 VtaminA15% Vitamin C35% Calcum4% ron4%",
218,218,https://m.media-amazon.com/images/I/314p2NKHdLL.jpg,348551,item_weight,REBAR TYING MACHINE 12V,
219,219,https://m.media-amazon.com/images/I/314p4MOJlRL.jpg,625310,item_weight,"SPECIFICATIONS Description: 2-way satellite speaker Frequency response: Power handling 200 watts peak.50 watls continuous Amplifier output N/A Low-frequency drivers Single 4(100mm).magnetically shielded High-frequency drivers: Single 1/2 (12mm), titanium-laminate, magnetically shielded Sensitivity (2.83V/1m) 89dB Nominal impedance: 8ohms Dimensions (H  W  D) 9x6-1/8x5-1/2228mmx155mmx139mm",
261,261,https://m.media-amazon.com/images/I/316rYL2JOBL.jpg,276611,item_weight,"62.9"" 15.4"" 31.7"" WEIGHT CAPACITY 135 LBS TOP 33 LBS DRAWERS",
281,281,https://m.media-amazon.com/images/I/3182q3TzyTL.jpg,635528,item_weight,5OOO MAH 1.3CM 10000 MAH TR 2CM WEICHT 1090 WEICHT D081,
284,284,https://m.media-amazon.com/images/I/318JGZzqQLL.jpg,375816,item_weight,Le grand Due 1928 pirit-Infused 100% PREMIUM ARABIC,
290,290,https://m.media-amazon.com/images/I/318Vs-v1K+L.jpg,639090,item_weight,DARKCHOCOLATECOVERED oig a C* c  Dark Chocolate Covered MARSHMALLOWS Minty Mallows trurples lacht ad Fadh nS k Co TW05 ET7.0620,
303,303,https://m.media-amazon.com/images/I/319Utc-4JCL.jpg,922709,item_weight,2ZAAAAM,
331,331,https://m.media-amazon.com/images/I/31B-428ClQL.jpg,825239,item_weight,inth.,
349,349,https://m.media-amazon.com/images/I/31BdiRuVllL.jpg,953313,item_weight,SEAGATE EXOS ENTERPRISE 2X1414,
362,362,https://m.media-amazon.com/images/I/31CUkGWrSHL.jpg,254449,item_weight,NATURALVEGAN-GMO RGEN FREESUSTAINABLY SOR NO ADDED PRESERVATIVES WEEGINNING SUBSTRATE,
397,397,https://m.media-amazon.com/images/I/31E0jB22--L.jpg,375816,item_weight,DOMINICAN AROMATREDO MACADAMIA NUEZ DE HAWAIANA 0,
436,436,https://m.media-amazon.com/images/I/31FTfRTgQHL.jpg,386873,item_weight,"5000 mAh ""OOL",
