,index,image_link,group_id,entity_name,OCR Text
3,3,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,depth,LLM maybe
4,4,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,depth,LLM maybe
12,12,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,depth,LLM maybe
24,24,https://m.media-amazon.com/images/I/21GLFXwC1mS.jpg,178958,depth,185cm
26,26,https://m.media-amazon.com/images/I/21H+7R85YZL.jpg,752266,depth,3.8in 6
33,33,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,depth,5.8in
39,39,https://m.media-amazon.com/images/I/21d6Dtc94mL.jpg,244283,depth,5.4 in 90 cm
45,45,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,depth,T 5.8in 4cm 工
49,49,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,depth,35 in W> 06
53,53,https://m.media-amazon.com/images/I/21qcJWXFNkL.jpg,916768,depth,7.56 ir 19 cm
57,57,https://m.media-amazon.com/images/I/21s+qly8nXL.jpg,244283,depth,5.4 in 90 cm
63,63,https://m.media-amazon.com/images/I/21vCDAVwSXS.jpg,752266,depth,280mm
70,70,https://m.media-amazon.com/images/I/21ykCJJsDpL.jpg,648011,depth,LLM maybe
73,73,https://m.media-amazon.com/images/I/21ztnqtFNVL.jpg,752266,depth,9.1in 23cm
77,77,https://m.media-amazon.com/images/I/31+21njYcOL.jpg,558806,depth,4.7 in / 12 cm
86,86,https://m.media-amazon.com/images/I/31+X1Lh3+eL.jpg,469317,depth,T 39in 98cm 1
99,99,https://m.media-amazon.com/images/I/31-8fLBjX8L.jpg,120219,depth,14.9in/38cm
119,119,https://m.media-amazon.com/images/I/3107VVwSyXL.jpg,849273,depth,45cm/17.7in
121,121,https://m.media-amazon.com/images/I/310GYVrrJPS.jpg,982714,depth,LLM maybe
133,133,https://m.media-amazon.com/images/I/310aYU-JigL.jpg,931856,depth,5.6in(65cm)
136,136,https://m.media-amazon.com/images/I/310hyjPrgML.jpg,648011,depth,20.0 cm
140,140,https://m.media-amazon.com/images/I/310oxdFmgLL.jpg,913156,depth,11.5mm/0.45in
142,142,https://m.media-amazon.com/images/I/310qlaeUSAL.jpg,449805,depth,208.3cm 82in
144,144,https://m.media-amazon.com/images/I/310rX4WoAFL.jpg,704724,depth,90cm/35.4in
149,149,https://m.media-amazon.com/images/I/311+pYVZ1zL.jpg,478357,depth,50cm
152,152,https://m.media-amazon.com/images/I/3118BjQXgAL.jpg,913156,depth,7.86in/20cm
169,169,https://m.media-amazon.com/images/I/311lBTY41pL.jpg,752266,depth,H35cm
177,177,https://m.media-amazon.com/images/I/312aMY3cO9L.jpg,752266,depth,23.8inch
179,179,https://m.media-amazon.com/images/I/3130yji+ASL.jpg,658892,depth,5.9 in /15cm
187,187,https://m.media-amazon.com/images/I/313PqxvaGFL.jpg,783898,depth,7.19cm/ 2.83inch
189,189,https://m.media-amazon.com/images/I/313Y-Pmq5OL.jpg,452717,depth,2.7 in / 7.0 cm
191,191,https://m.media-amazon.com/images/I/313cKYWS+nL.jpg,478357,depth,61cm
201,201,https://m.media-amazon.com/images/I/31445Xcd2XL.jpg,149708,depth,37.5cm/14.76in
204,204,https://m.media-amazon.com/images/I/3145h9GZigL.jpg,939129,depth,13.2 in
