,index,image_link,group_id,entity_name,OCR Text
3,3,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,depth,Size One Size 42c
4,4,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,depth,Size V 10.50
12,12,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,depth,LLM maybe
24,24,https://m.media-amazon.com/images/I/21GLFXwC1mS.jpg,178958,depth,932 cm
26,26,https://m.media-amazon.com/images/I/21H+7R85YZL.jpg,752266,depth,LLM maybe
33,33,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,depth,LLM maybe
39,39,https://m.media-amazon.com/images/I/21d6Dtc94mL.jpg,244283,depth,47.2 in 120 cm
45,45,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,depth,LLM maybe
49,49,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,depth,47 in 120 cm
53,53,https://m.media-amazon.com/images/I/21qcJWXFNkL.jpg,916768,depth,5 in -12.5 cm
57,57,https://m.media-amazon.com/images/I/21s+qly8nXL.jpg,244283,depth,47.2 in 120 cm
63,63,https://m.media-amazon.com/images/I/21vCDAVwSXS.jpg,752266,depth,280mm
70,70,https://m.media-amazon.com/images/I/21ykCJJsDpL.jpg,648011,depth,LLM maybe
73,73,https://m.media-amazon.com/images/I/21ztnqtFNVL.jpg,752266,depth,LLM maybe
77,77,https://m.media-amazon.com/images/I/31+21njYcOL.jpg,558806,depth,3.1 in / 8 cm
86,86,https://m.media-amazon.com/images/I/31+X1Lh3+eL.jpg,469317,depth,?
99,99,https://m.media-amazon.com/images/I/31-8fLBjX8L.jpg,120219,depth,4.33in/11cm
119,119,https://m.media-amazon.com/images/I/3107VVwSyXL.jpg,849273,depth,10cm/3.9in
121,121,https://m.media-amazon.com/images/I/310GYVrrJPS.jpg,982714,depth,25.7.cm
133,133,https://m.media-amazon.com/images/I/310aYU-JigL.jpg,931856,depth,LLM maybe
136,136,https://m.media-amazon.com/images/I/310hyjPrgML.jpg,648011,depth,2.9 cm
140,140,https://m.media-amazon.com/images/I/310oxdFmgLL.jpg,913156,depth,100mm/3.93in
142,142,https://m.media-amazon.com/images/I/310qlaeUSAL.jpg,449805,depth,LLM maybe
144,144,https://m.media-amazon.com/images/I/310rX4WoAFL.jpg,704724,depth,10cm/3.9in
149,149,https://m.media-amazon.com/images/I/311+pYVZ1zL.jpg,478357,depth,LLM maybe
152,152,https://m.media-amazon.com/images/I/3118BjQXgAL.jpg,913156,depth,3.14 in / 8cm
169,169,https://m.media-amazon.com/images/I/311lBTY41pL.jpg,752266,depth,D10.5cm
177,177,https://m.media-amazon.com/images/I/312aMY3cO9L.jpg,752266,depth,0.79inch
179,179,https://m.media-amazon.com/images/I/3130yji+ASL.jpg,658892,depth,1.1 in/ 3.0cm
187,187,https://m.media-amazon.com/images/I/313PqxvaGFL.jpg,783898,depth,5.08cm/2inch
189,189,https://m.media-amazon.com/images/I/313Y-Pmq5OL.jpg,452717,depth,11.0 in / 28.0 cm
191,191,https://m.media-amazon.com/images/I/313cKYWS+nL.jpg,478357,depth,40cm
201,201,https://m.media-amazon.com/images/I/31445Xcd2XL.jpg,149708,depth,LLM maybe
204,204,https://m.media-amazon.com/images/I/3145h9GZigL.jpg,939129,depth,10 in
210,210,https://m.media-amazon.com/images/I/314J9z-v4HL.jpg,966823,depth,213.5mm
220,220,https://m.media-amazon.com/images/I/314vPdiXQFL.jpg,462731,depth,8.1 inch 20.6 cm
224,224,https://m.media-amazon.com/images/I/3158RU753EL.jpg,243137,depth,3ftwide 90cm
234,234,https://m.media-amazon.com/images/I/315T7LAYrLL.jpg,781426,depth,70cm
238,238,https://m.media-amazon.com/images/I/315b6Zdm7BL.jpg,433914,depth,LLM maybe
243,243,https://m.media-amazon.com/images/I/315yDUfDBgL.jpg,292475,depth,21.5cm/8.46in
244,244,https://m.media-amazon.com/images/I/3162jbDKLhL.jpg,452717,depth,7.4in\19cm
245,245,https://m.media-amazon.com/images/I/31655QolL+L.jpg,916768,depth,15.1 cm
