,index,image_link,group_id,entity_name,OCR Text,prediction
41,41,https://m.media-amazon.com/images/I/21fIe0wHxDL.jpg,751532,height,53,The height of the object in the image is 9 inches.
389,389,https://m.media-amazon.com/images/I/31Dcdu1QcDL.jpg,801829,height,31.4 38.,"The height of the object in the image is 31.4 inches, as indicated by the measurement on the left side of the chair."
399,399,https://m.media-amazon.com/images/I/31E2Za-l0aL.jpg,667819,height,9,The height of the object in the image is 14 centimeters.
629,629,https://m.media-amazon.com/images/I/31OKYNffHBL.jpg,311997,height,70.1 14 24.8,The height of the object in the image is 70.1 inches.
825,826,https://m.media-amazon.com/images/I/31XGgHqgbqL.jpg,549052,height,5 3 KONG 2.25,The height of the object in the image is 3.5 inches.
927,928,https://m.media-amazon.com/images/I/31caDv7w5HL.jpg,416664,height,28.5 18,"The height of the object in the image is 28.5 inches, as indicated by the measurement provided on the side of the lamp base."
1074,1075,https://m.media-amazon.com/images/I/31kWf-PMRML.jpg,658003,height,I 2.5' 17.5,"The height of the object, as indicated in the image, is 2.5 inches."
1146,1147,https://m.media-amazon.com/images/I/31nLtoTZfhL.jpg,986932,height,7cm 23cm 2cm,"The height of the object in the image, as indicated by the measurement provided, is 23 cm."
1264,1265,https://m.media-amazon.com/images/I/31sobtqkciL.jpg,751532,height,18' 75',The height of the object in the image is 18 inches.
1831,1834,https://m.media-amazon.com/images/I/41-VnfH5nJL.jpg,932012,height,1,"The height of the object in the image is 130 cm, as indicated by the measurement on the left side of the image."
2231,2235,https://m.media-amazon.com/images/I/411-LX0voPL.jpg,186035,height,26.5in 214 10000 8500 Pounds Starting Running Watts Watts 20.5 in 31.4 in,"The height of the object, as indicated in the image, is 26.5 inches."
2790,2794,https://m.media-amazon.com/images/I/413+uGf6g3L.jpg,303395,height,SHARP DUNLOPU.S.A. .73mm,"The height of the object, as indicated on the image, is 0.73 mm."
3088,3093,https://m.media-amazon.com/images/I/414J295kUVL.jpg,784538,height,SizeGuide Support Customization 40X60CM 30X40CM 20X30 Unframed 1624 1216 812 5X7 70X100CM 60X80CM 50X70CM THE MODELIS 175CM/69TALL 28X39 24X32 2028,The height of the object in the image is 175 cm or 69 inches.
3435,3441,https://m.media-amazon.com/images/I/415mi8k1ALL.jpg,470067,height,5.7 in 5 5 5 1.95 2 in 1.55 in,"The height of the object in the image is 5.7 inches, as indicated by the vertical measurement on the right side of the drawing."
3825,3831,https://m.media-amazon.com/images/I/417IghLnY-L.jpg,667819,height,OCM 2 3 A 5 6 7 8 9 10 11 12 1 CM MADE INCHINA 2 celco NO.160860 6,"The height of the object, as indicated on the ruler in the image, is 12 centimeters."
3834,3840,https://m.media-amazon.com/images/I/417L9GM99tL.jpg,849273,height,83L 19.75 IN. IN. 8 ROAM TOA 50.75 IN.,The height of the object in the image is 8 inches.
3864,3873,https://m.media-amazon.com/images/I/417VPTcV+FL.jpg,487566,height,ENGATE FLEXIVEL 60 CM,"The height of the object in the image is ""60 CM"", which translates to 60 centimeters or approximately 23.62 inches."
3999,4008,https://m.media-amazon.com/images/I/417zkkUYbML.jpg,816782,height,S1ZE CHART 5'x8 4' x6' 4'x5' 3' x5' 2' x3',The height of the object in the image is 5 feet and 8 inches.
4909,4919,https://m.media-amazon.com/images/I/41BFs8u9-pL.jpg,416608,height,Width 1.2INCH/3CM 12INCH/30.5CM Length SIZE No. 3,"The height of the object in the image is 1.2 inches or 3 centimeters, as indicated by the measurement label on the side of the tool."
4984,4994,https://m.media-amazon.com/images/I/41BZa3IRzpL.jpg,150535,height,ARABIA 1873 24h DISHWASHER SAFE OVEN TOTABLE ROWAVE SAFE 24 AVEC PLATE 20am Keltaimen sabas Madein,"The height of the object, as indicated on the label, is 24h. However, without a unit of measurement provided alongside ""h,"" it's not possible to determine the exact dimensions from this information alone. Typically, ""h"" in product specifications could stand for height, but without further context or units such as inches or centimeters, we cannot ascertain the actual physical dimension."
5258,5268,https://m.media-amazon.com/images/I/41CSy29NWiL.jpg,783898,height,7.86 IN / 20 CM,"The height of the object in the image is 7.86 inches, as indicated by the measurement provided at the bottom of the image."
5860,5870,https://m.media-amazon.com/images/I/41EXyNSrM+L.jpg,442321,height,OVERALL PRODUCT SIZE(in inches) Desk45W*19.5D*30.1H Unit net weight:67.7lb 30.7kg 49.lcm 9.3n,The height of the object in the image is 30.1 inches (H).
6097,6107,https://m.media-amazon.com/images/I/41FRFA-6KiS.jpg,192915,height,4.9' 4.9',"The height of the object in the image is 4.9 inches, as indicated by the measurement labeled on the left side of the object."
6390,6400,https://m.media-amazon.com/images/I/41GPh-lv1WL.jpg,237000,height,Total Length:34.64 in/88 cm width:24.8in/63 cm,"The height of the object in the image is given as 34.64 inches or 88 cm. This measurement is provided at the bottom of the image, indicating that the total length of the chair cover is 34.64 inches (which is approximately 88 centimeters)."
7592,7602,https://m.media-amazon.com/images/I/41Kkhpnh+OL.jpg,764417,height,CuraActive PORTATA 120KG ALTEZZA 10CM FACILE PULIZIA,"The height of the object, as indicated in the image, is 10 cm."
9394,9405,https://m.media-amazon.com/images/I/41R2ySq542L.jpg,521308,height,Height5'7 30 inch 16.5 inch 72 inch nsons are in Feet and anch,The height of the object in the image is 5 feet and 7 inches.
9418,9429,https://m.media-amazon.com/images/I/41R6Tiedx7L.jpg,241608,height,19.00 15.00 5 5,"The height of the object in the image, as indicated by the measurements provided, is 5.00 inches."
9681,9692,https://m.media-amazon.com/images/I/41S28gWTSzL.jpg,801829,height,36.2,"The height of the object in the image, as indicated by the measurement provided, is 36.2 inches."
9859,9870,https://m.media-amazon.com/images/I/41SdsiLLjsS.jpg,970563,height,3/8 High : 12,The height of the object in the image is 12 inches.
9963,9974,https://m.media-amazon.com/images/I/41T+UL7qRzL.jpg,861555,height,L 8.5CM 19CM 12CM,The height of the object in the image is 12 centimeters.
11013,11025,https://m.media-amazon.com/images/I/41Wx6ZkZJhL.jpg,776220,height,DEWALT DEWALT TOUGHSERIES 14 MIG WELD HAMMER MARTEAU SOUDE MIC LIGHTWEIGHT DESIGNED TO STRIKE LIKE A 28 GRIP ANTI-SLIP,"The height of the object, which is a claw hammer, can be inferred from the packaging label. The label indicates that the hammer has a length of ""14 inches,"" where ""inches"" is the unit of measurement provided in the image. Therefore, the height of the hammer, including the handle, is 14 inches."
11127,11139,https://m.media-amazon.com/images/I/41XM8lhUT4L.jpg,524117,height,FIDX 12 in x 12in Storago Kecper 30.4.cm,"The height of the object, as indicated on the label in the image, is 3.5 inches (8.9 cm)."
11264,11276,https://m.media-amazon.com/images/I/41XoQ+VqsYL.jpg,478357,height,16'inch 10'inch,The height of the object in the image is 10 inches.
11337,11349,https://m.media-amazon.com/images/I/41Y5d5cnE8L.jpg,931247,height,PLASTIC TABLECOVER UNENAPPE-PLASTIQUE 54NX103N5832SQN137cmX274cm37538 sqcm) 1 RECTANGULAR,The height of the object in the image is 54 inches.
11500,11512,https://m.media-amazon.com/images/I/41YcGFUh2LL.jpg,995842,height,,"The height of the object in the image, as indicated by the scale on the caliper, is 7.0 cm."
11610,11622,https://m.media-amazon.com/images/I/41Z-QfA3qiL.jpg,784538,height,Size dimension A4 30X30 40X40 50X50 60X60,The height of the object in the image is 60 inches.
11650,11662,https://m.media-amazon.com/images/I/41Z8fUcRsZL.jpg,536583,height,"CEPILLOPARA MADERA OaKland ELECTRICO MODCB-1302 Potencia 2HP Capacidad 13"" CAJA POTENCIA VOLTAJE CAPACIDADMAX VELOCIDAD VELDEANANCE PROF.DECORTE PESO INNERMASTER 2HP nOV- 13'x8 8500 pm 7m/min 48 26,4kg NA N/A Debida al con nte derlisde maestms prouctasa i","The height of the object in the image is listed as ""13"" which typically stands for inches. Therefore, the height of the object is 13 inches."
11842,11854,https://m.media-amazon.com/images/I/41ZsXkHEA0L.jpg,452717,height,height: 8.27* length: 15.75,The height of the object in the image is 8.27 inches.
12774,12786,https://m.media-amazon.com/images/I/41dD2bilAQS.jpg,524117,height,6.2 6 BOX 6.3 11.4 I,"The height of the object, as indicated in the image with units, is 6.2 inches."
