,index,image_link,group_id,entity_name,OCR Text
0,0,https://m.media-amazon.com/images/I/110EibNyclL.jpg,156839,height,2.6sm
2,2,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,height,LLM maybe
5,5,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,height,LLM maybe
7,7,https://m.media-amazon.com/images/I/11lshEUmCrL.jpg,156839,height,LLM maybe
9,9,https://m.media-amazon.com/images/I/21-LmSmehZL.jpg,478357,height,15cm
13,13,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,height,LLM maybe
34,34,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,height,5.8in
36,36,https://m.media-amazon.com/images/I/21bwWoCpGJL.jpg,156839,height,LLM maybe
41,41,https://m.media-amazon.com/images/I/21fIe0wHxDL.jpg,751532,height,LLM maybe
43,43,https://m.media-amazon.com/images/I/21jOOqo0oZL.jpg,244283,height,48 in 122 cm
44,44,https://m.media-amazon.com/images/I/21lqVGTzV1L.jpg,478357,height,60 cm 23.6 in
46,46,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,height,T 5.8in 4cm 工
50,50,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,height,35 in W> 06
54,54,https://m.media-amazon.com/images/I/21qcJWXFNkL.jpg,916768,height,7.56 ir 19 cm
62,62,https://m.media-amazon.com/images/I/21vCDAVwSXS.jpg,752266,height,280mm
67,67,https://m.media-amazon.com/images/I/21xnCHoPZHL.jpg,156839,height,LLM maybe
69,69,https://m.media-amazon.com/images/I/21ykCJJsDpL.jpg,648011,height,LLM maybe
72,72,https://m.media-amazon.com/images/I/21ztnqtFNVL.jpg,752266,height,9.1in 23cm
76,76,https://m.media-amazon.com/images/I/31+21njYcOL.jpg,558806,height,4.7 in / 12 cm
79,79,https://m.media-amazon.com/images/I/31+H+PVsNEL.jpg,801829,height,Size: 120x50cm
84,84,https://m.media-amazon.com/images/I/31+X1Lh3+eL.jpg,469317,height,T 39in 98cm 1
93,93,https://m.media-amazon.com/images/I/31+zGAugKrL.jpg,178958,height,"23.95"""
95,95,https://m.media-amazon.com/images/I/31-4a-yI8sS.jpg,932012,height,LLM maybe
98,98,https://m.media-amazon.com/images/I/31-7OAd1COL.jpg,311997,height,LLM maybe
100,100,https://m.media-amazon.com/images/I/31-A90GRAHL.jpg,469317,height,94cm 37in
104,104,https://m.media-amazon.com/images/I/31-Tp1rWTJL.jpg,478357,height,cm 69
105,105,https://m.media-amazon.com/images/I/31-Ubz8YvUL.jpg,524117,height,"7,5cm"
107,107,https://m.media-amazon.com/images/I/31-UedLQDqL.jpg,442321,height,"73 cm(28.7"""
109,109,https://m.media-amazon.com/images/I/31-bBqUQPuL.jpg,478357,height,cm 4
110,110,https://m.media-amazon.com/images/I/310-VAupIJL.jpg,311997,height,cm 8
127,127,https://m.media-amazon.com/images/I/310Tz9gnk2L.jpg,276611,height,191cm
132,132,https://m.media-amazon.com/images/I/310aYU-JigL.jpg,931856,height,5.6in(65cm)
135,135,https://m.media-amazon.com/images/I/310hyjPrgML.jpg,648011,height,20.0 cm
137,137,https://m.media-amazon.com/images/I/310kcUKMHOL.jpg,594224,height,26cm
138,138,https://m.media-amazon.com/images/I/310mwtoWn3L.jpg,658003,height,29.95 cm
141,141,https://m.media-amazon.com/images/I/310p+AOeZ6L.jpg,452717,height,14cm
145,145,https://m.media-amazon.com/images/I/310rX4WoAFL.jpg,704724,height,90cm/35.4in
151,151,https://m.media-amazon.com/images/I/3113NMTt2CL.jpg,478357,height,74.93cm
153,153,https://m.media-amazon.com/images/I/3118BjQXgAL.jpg,913156,height,7.86in/20cm
155,155,https://m.media-amazon.com/images/I/31196HWGAjL.jpg,695925,height,LLM maybe
158,158,https://m.media-amazon.com/images/I/311KCsFxw9L.jpg,521308,height,"7 30.3"""
160,160,https://m.media-amazon.com/images/I/311M6XKGJhL.jpg,752266,height,LLM maybe
162,162,https://m.media-amazon.com/images/I/311UTstDjGL.jpg,312608,height,LLM maybe
171,171,https://m.media-amazon.com/images/I/311qj00+z6L.jpg,521308,height,831
174,174,https://m.media-amazon.com/images/I/3121-R7e6gL.jpg,849273,height,7.8 in / 20.0 cm
182,182,https://m.media-amazon.com/images/I/3136hKrB0xS.jpg,311997,height,"74,5 cm"
188,188,https://m.media-amazon.com/images/I/313Y-Pmq5OL.jpg,452717,height,2.7 in / 7.0 cm
192,192,https://m.media-amazon.com/images/I/313cKYWS+nL.jpg,478357,height,61cm
194,194,https://m.media-amazon.com/images/I/313h5LWmlcL.jpg,311997,height,"127,5 cm"
195,195,https://m.media-amazon.com/images/I/313iZcTsPNL.jpg,120219,height,27.4cm
200,200,https://m.media-amazon.com/images/I/31445Xcd2XL.jpg,149708,height,37.5cm/14.76in
203,203,https://m.media-amazon.com/images/I/3145h9GZigL.jpg,939129,height,13.2 in
207,207,https://m.media-amazon.com/images/I/31489jH+cnL.jpg,966823,height,27.94cm 11in
212,212,https://m.media-amazon.com/images/I/314VKLwLwYL.jpg,276611,height,128cm
215,215,https://m.media-amazon.com/images/I/314oOH7ICvS.jpg,311997,height,"151,5 cm"
221,221,https://m.media-amazon.com/images/I/314vPdiXQFL.jpg,462731,height,18/0 stainless steel
222,222,https://m.media-amazon.com/images/I/314wRJd39EL.jpg,488883,height,43.18cm
226,226,https://m.media-amazon.com/images/I/315C1CvRpTL.jpg,823083,height,19.5cm
231,231,https://m.media-amazon.com/images/I/315QF8BudHL.jpg,311997,height,10 cm
239,239,https://m.media-amazon.com/images/I/315ldex3oEL.jpg,478357,height,3 T 5 cm
241,241,https://m.media-amazon.com/images/I/315y3qqHQ1L.jpg,311997,height,"180 cm ( 70.8"")"
242,242,https://m.media-amazon.com/images/I/315yDUfDBgL.jpg,292475,height,7cm/2.75in
247,247,https://m.media-amazon.com/images/I/316JmynwTeL.jpg,893692,height,27.76 in 70.5 cm
256,256,https://m.media-amazon.com/images/I/316pJ84mB-S.jpg,483370,height,"16cm 06'29"""
264,264,https://m.media-amazon.com/images/I/317+4WLmMhL.jpg,276611,height,"39"""
265,265,https://m.media-amazon.com/images/I/3179bFOeHPL.jpg,913156,height,2.55in/6.5cm
267,267,https://m.media-amazon.com/images/I/3179z0kjMBL.jpg,524117,height,9.8 in 25 cm
270,270,https://m.media-amazon.com/images/I/317JgcKuEKL.jpg,913156,height,5.90in/15cm
274,274,https://m.media-amazon.com/images/I/317UEfHNWFL.jpg,931856,height,1.5in/4.0cm
280,280,https://m.media-amazon.com/images/I/317to6OSbEL.jpg,302672,height,8.2in/21cm
285,285,https://m.media-amazon.com/images/I/318NkZYUxbL.jpg,436746,height,16.5cm
289,289,https://m.media-amazon.com/images/I/318VrqotQiL.jpg,913156,height,"8"""
291,291,https://m.media-amazon.com/images/I/318qeLWHofS.jpg,858439,height,39cm 15.3in
297,297,https://m.media-amazon.com/images/I/3196JaAmUXL.jpg,178958,height,"63"""
307,307,https://m.media-amazon.com/images/I/319mQCR3drL.jpg,501250,height,23 in 58.4 cm
315,315,https://m.media-amazon.com/images/I/31ALW6ILdNS.jpg,640408,height,21cm/8.3in
320,320,https://m.media-amazon.com/images/I/31AbZL7hGVS.jpg,347404,height,7.5cm/2.95in
322,322,https://m.media-amazon.com/images/I/31AcYMtb32L.jpg,966823,height,11in 27.94cm
326,326,https://m.media-amazon.com/images/I/31AwVD2u6yS.jpg,764417,height,15.5cm/6.1in
328,328,https://m.media-amazon.com/images/I/31AwaGMCddL.jpg,745326,height,LLM maybe
333,333,https://m.media-amazon.com/images/I/31B2ZSdi-bS.jpg,483370,height,40cm/15.72in
337,337,https://m.media-amazon.com/images/I/31BC3j4CS5L.jpg,823083,height,4.9in/12.5cm
342,342,https://m.media-amazon.com/images/I/31BN3P0+FZL.jpg,483370,height,"25cm 9'84"""
348,348,https://m.media-amazon.com/images/I/31Bb9t5+zUL.jpg,752266,height,L cm
353,353,https://m.media-amazon.com/images/I/31C3Uybdh7L.jpg,558806,height,16CM
356,356,https://m.media-amazon.com/images/I/31C5D5F9D9S.jpg,931856,height,12inch
364,364,https://m.media-amazon.com/images/I/31Cst7vLIAL.jpg,478357,height,74cm
365,365,https://m.media-amazon.com/images/I/31CuqYq6tSL.jpg,478357,height,"55 cm (21.5"""
371,371,https://m.media-amazon.com/images/I/31Czfm+KFwL.jpg,276611,height,190 cm
373,373,https://m.media-amazon.com/images/I/31D0mqjJbmL.jpg,599772,height,LLM maybe
375,375,https://m.media-amazon.com/images/I/31DGWuERDrL.jpg,478357,height,cm 0 3
380,380,https://m.media-amazon.com/images/I/31DOXzkNKSL.jpg,292475,height,2.4in/6.1cm
382,382,https://m.media-amazon.com/images/I/31DOqLer9YL.jpg,752266,height,60cm
389,389,https://m.media-amazon.com/images/I/31Dcdu1QcDL.jpg,801829,height,81.4
392,392,https://m.media-amazon.com/images/I/31DmuvUrq-L.jpg,478357,height,40 cm
395,395,https://m.media-amazon.com/images/I/31DvN4cwQUL.jpg,846116,height,11.5cm/4.5inch
399,399,https://m.media-amazon.com/images/I/31E2Za-l0aL.jpg,667819,height,LLM maybe
403,403,https://m.media-amazon.com/images/I/31EA580F0XS.jpg,752266,height,100cm
405,405,https://m.media-amazon.com/images/I/31EALe-kFOL.jpg,640408,height,22.2cm
411,411,https://m.media-amazon.com/images/I/31EM4A8ItRL.jpg,453674,height,"13,5 cm"
412,412,https://m.media-amazon.com/images/I/31EQXX2AigL.jpg,276611,height,146cm
419,419,https://m.media-amazon.com/images/I/31Efo1-SdqL.jpg,864320,height,8.3 in / 21.0cm
423,423,https://m.media-amazon.com/images/I/31Ewj0PXNdL.jpg,501250,height,27in 69cm
429,429,https://m.media-amazon.com/images/I/31FCBht4h-L.jpg,436746,height,3.14in/8cm
456,456,https://m.media-amazon.com/images/I/31GD-sqjvfL.jpg,913156,height,3.74 in / 9.5cm
457,457,https://m.media-amazon.com/images/I/31GGjka5fcL.jpg,916768,height,6.29 in / 16 cm
459,459,https://m.media-amazon.com/images/I/31GKAhbIN8L.jpg,276611,height,"175 cm(68.9"")"
461,461,https://m.media-amazon.com/images/I/31GKLavjhUL.jpg,154981,height,LLM maybe
