index,image_link,group_id,entity_name,OCR Text,prediction
37,https://m.media-amazon.com/images/I/21cLufe8Y5L.jpg,648011,voltage,LAES T5 M8 640,240V
60,https://m.media-amazon.com/images/I/21tOerzlVML.jpg,957050,voltage,14-inch MacBook Pro USB-C to MagSafe 3 USB-C Power Adapter Cable (2 m),"The voltage rating of the USB-C Power Adapter is not directly visible in the image provided. To determine the exact voltage rating, one would typically need to refer to the product specifications or documentation that accompanies this adapter. Since such information is not available within the scope of this image, it cannot be accurately reported. For precise details on the voltage rating, one should consult the manufacturer's datasheet or user manual for the specific model of the USB-C Power Adapter shown."
75,https://m.media-amazon.com/images/I/31+1xiVjZBL.jpg,997176,voltage,230mm Capacity: 1.4L 280mm Power: 1500w 160mm,"The voltage rating of the electric kettle is not explicitly provided in the image. Typically, such information would be found on the product label or specifications sheet that usually accompanies the item when it is sold. To determine the voltage rating, one would need to refer to the manufacturer's documentation or contact customer service for this particular model."
88,https://m.media-amazon.com/images/I/31+kevQrOnL.jpg,860821,voltage,"The Higher the CFM, the greater the air movement CFM Cubicroe LessAir 50 60 80 90 100110 130 More Air",100:35 = 2.86 volts
97,https://m.media-amazon.com/images/I/31-4uQ1S2XL.jpg,709627,voltage,100mm NIMH AA3000mAh 9.6v GZ190805 56mm + 14mm,9.6V
165,https://m.media-amazon.com/images/I/311dT7UohfS.jpg,997176,voltage,233mm/9.2in 152mm/6.0in,24V
184,https://m.media-amazon.com/images/I/313H+KOefpL.jpg,900671,voltage,180 M BLACK+DECKER,120 V
206,https://m.media-amazon.com/images/I/3147F5NHEdL.jpg,900671,voltage,"OIL-FREE FRYING! With rapid air frying technology, you frying experience with little to no oil can enjoy a faster and healthier 12HOUR TIMER 3 FUNRESIONS DISHWASHER SAFE BASKET 1700W",1700W
230,https://m.media-amazon.com/images/I/315PtJZRiFL.jpg,900671,voltage,Eeeee 00h,120V
278,https://m.media-amazon.com/images/I/317e7XKMYmS.jpg,983323,voltage,OSUNON PF4028181-0000-599 6.72W 31900212,12 V
287,https://m.media-amazon.com/images/I/318TVw4iM1L.jpg,965518,voltage,Q/YDD02-94 HY2(KO3)-15 ZHNYU PICC,220V
299,https://m.media-amazon.com/images/I/319PRYi9q9L.jpg,276700,voltage,Fits most 6 in. reciprocating blades,120V
