,index,image_link,group_id,entity_name,OCR Text
1,1,https://m.media-amazon.com/images/I/11TU2clswzL.jpg,792578,width,Size One Size 42c
6,6,https://m.media-amazon.com/images/I/11gHj8dhhrL.jpg,792578,width,Size V 10.50
8,8,https://m.media-amazon.com/images/I/21+i52HRW4L.jpg,478357,width,40cm
11,11,https://m.media-amazon.com/images/I/213wY3gUsmL.jpg,276611,width,139.5cm
14,14,https://m.media-amazon.com/images/I/214CLs1oznL.jpg,648011,width,LLM maybe
20,20,https://m.media-amazon.com/images/I/21BMc5GC4iL.jpg,442321,width,120cm
21,21,https://m.media-amazon.com/images/I/21CxlWbim3L.jpg,751532,width,LLM maybe
23,23,https://m.media-amazon.com/images/I/21GLFXwC1mS.jpg,178958,width,932 cm
25,25,https://m.media-amazon.com/images/I/21H+7R85YZL.jpg,752266,width,LLM maybe
32,32,https://m.media-amazon.com/images/I/21aD6ktvwxS.jpg,113134,width,LLM maybe
40,40,https://m.media-amazon.com/images/I/21d6Dtc94mL.jpg,244283,width,47.2 in 120 cm
42,42,https://m.media-amazon.com/images/I/21jOOqo0oZL.jpg,244283,width,96in 244 cm
47,47,https://m.media-amazon.com/images/I/21m65YQrQdL.jpg,249345,width,LLM maybe
48,48,https://m.media-amazon.com/images/I/21nEy7KBQlL.jpg,244283,width,47 in 120 cm
55,55,https://m.media-amazon.com/images/I/21qgWY60ABL.jpg,751532,width,96.52cm
58,58,https://m.media-amazon.com/images/I/21s+qly8nXL.jpg,244283,width,47.2 in 120 cm
64,64,https://m.media-amazon.com/images/I/21vCDAVwSXS.jpg,752266,width,280mm
68,68,https://m.media-amazon.com/images/I/21ykCJJsDpL.jpg,648011,width,LLM maybe
71,71,https://m.media-amazon.com/images/I/21ztnqtFNVL.jpg,752266,width,LLM maybe
85,85,https://m.media-amazon.com/images/I/31+X1Lh3+eL.jpg,469317,width,?
90,90,https://m.media-amazon.com/images/I/31+nz2egbjL.jpg,311997,width,60cm
92,92,https://m.media-amazon.com/images/I/31+sbhHNfYS.jpg,311997,width,"500 mm（19.7"")"
96,96,https://m.media-amazon.com/images/I/31-4a-yI8sS.jpg,932012,width,12.5cm/4.92in
103,103,https://m.media-amazon.com/images/I/31-QiMl+gwL.jpg,801829,width,62cm
106,106,https://m.media-amazon.com/images/I/31-Ubz8YvUL.jpg,524117,width,20cm
118,118,https://m.media-amazon.com/images/I/3107VVwSyXL.jpg,849273,width,10cm/3.9in
128,128,https://m.media-amazon.com/images/I/310VuJknGFS.jpg,478357,width,180cm
130,130,https://m.media-amazon.com/images/I/310YvVAYofL.jpg,311997,width,40cm
131,131,https://m.media-amazon.com/images/I/310aYU-JigL.jpg,931856,width,LLM maybe
139,139,https://m.media-amazon.com/images/I/310oxdFmgLL.jpg,913156,width,100mm/3.93in
143,143,https://m.media-amazon.com/images/I/310qlaeUSAL.jpg,449805,width,LLM maybe
146,146,https://m.media-amazon.com/images/I/310rX4WoAFL.jpg,704724,width,10cm/3.9in
148,148,https://m.media-amazon.com/images/I/311+pYVZ1zL.jpg,478357,width,LLM maybe
154,154,https://m.media-amazon.com/images/I/31196HWGAjL.jpg,695925,width,10cm
156,156,https://m.media-amazon.com/images/I/311JBecauYL.jpg,640408,width,50mm
157,157,https://m.media-amazon.com/images/I/311KCsFxw9L.jpg,521308,width,"74"""
163,163,https://m.media-amazon.com/images/I/311ZqD+0WiL.jpg,507988,width,"76"""
168,168,https://m.media-amazon.com/images/I/311lBTY41pL.jpg,752266,width,D10.5cm
173,173,https://m.media-amazon.com/images/I/3121-R7e6gL.jpg,849273,width,1.1in/3.0cm
175,175,https://m.media-amazon.com/images/I/312BjPAAlcL.jpg,861555,width,14cm
180,180,https://m.media-amazon.com/images/I/3130yji+ASL.jpg,658892,width,1.1 in/ 3.0cm
186,186,https://m.media-amazon.com/images/I/313PqxvaGFL.jpg,783898,width,5.08cm/2inch
196,196,https://m.media-amazon.com/images/I/313iZcTsPNL.jpg,120219,width,LLM maybe
202,202,https://m.media-amazon.com/images/I/31445Xcd2XL.jpg,149708,width,LLM maybe
214,214,https://m.media-amazon.com/images/I/314oOH7ICvS.jpg,311997,width,60cm
225,225,https://m.media-amazon.com/images/I/3158RU753EL.jpg,243137,width,3ftwide 90cm
233,233,https://m.media-amazon.com/images/I/315T7LAYrLL.jpg,781426,width,70cm
235,235,https://m.media-amazon.com/images/I/315YvNM5jML.jpg,521308,width,"-75.6"""
236,236,https://m.media-amazon.com/images/I/315ZwdYq-nL.jpg,276611,width,72cm
237,237,https://m.media-amazon.com/images/I/315b6Zdm7BL.jpg,433914,width,LLM maybe
240,240,https://m.media-amazon.com/images/I/315ldex3oEL.jpg,478357,width,60 cm
246,246,https://m.media-amazon.com/images/I/31655QolL+L.jpg,916768,width,15.1 cm
248,248,https://m.media-amazon.com/images/I/316PuR+4P7L.jpg,311997,width,"60cm(23.6""）"
249,249,https://m.media-amazon.com/images/I/316QBt0qRVL.jpg,783898,width,2.32 in / 5.9 cm
251,251,https://m.media-amazon.com/images/I/316QheTdnoL.jpg,276611,width,W65cm
257,257,https://m.media-amazon.com/images/I/316pJ84mB-S.jpg,483370,width,LLM maybe
258,258,https://m.media-amazon.com/images/I/316rD0Fy5eL.jpg,433914,width,76cm
262,262,https://m.media-amazon.com/images/I/316vEjFHFXL.jpg,276611,width,80 cm
263,263,https://m.media-amazon.com/images/I/317+4WLmMhL.jpg,276611,width,"41"""
268,268,https://m.media-amazon.com/images/I/317H4RZWLvL.jpg,292475,width,20cm
271,271,https://m.media-amazon.com/images/I/317JgcKuEKL.jpg,913156,width,2.75in / 7 cm
283,283,https://m.media-amazon.com/images/I/3187NaQvGVL.jpg,810266,width,LLM maybe
286,286,https://m.media-amazon.com/images/I/318R0lcGWuL.jpg,893692,width,16.73 in 42.5 cm
295,295,https://m.media-amazon.com/images/I/319+HHdREmL.jpg,292475,width,4.4 in / 11.2 cm
296,296,https://m.media-amazon.com/images/I/31933u5NyqL.jpg,521308,width,"73.62"""
310,310,https://m.media-amazon.com/images/I/319rBAua1EL.jpg,963595,width,1.8in/4.5cm
311,311,https://m.media-amazon.com/images/I/31A-FrsRYJL.jpg,276611,width,80 cm
316,316,https://m.media-amazon.com/images/I/31ALW6ILdNS.jpg,640408,width,5.0cm/1.96in
318,318,https://m.media-amazon.com/images/I/31AQgkAeoeS.jpg,292475,width,15.2CM
329,329,https://m.media-amazon.com/images/I/31AwaGMCddL.jpg,745326,width,7CM
344,344,https://m.media-amazon.com/images/I/31BN3P0+FZL.jpg,483370,width,LLM maybe
345,345,https://m.media-amazon.com/images/I/31BVEDiDPxL.jpg,442321,width,120cm
346,346,https://m.media-amazon.com/images/I/31Bb9t5+zUL.jpg,752266,width,08.5cm
351,351,https://m.media-amazon.com/images/I/31C+5WzuXOL.jpg,210293,width,2.8 inch
358,358,https://m.media-amazon.com/images/I/31C8QnlC+US.jpg,292475,width,5.0in/12.6cm
361,361,https://m.media-amazon.com/images/I/31CUWR5Vl6L.jpg,866516,width,0.78in/2cm
366,366,https://m.media-amazon.com/images/I/31CuqYq6tSL.jpg,478357,width,"35cm(14"")"
369,369,https://m.media-amazon.com/images/I/31CwvpacgHS.jpg,311997,width,60cm
370,370,https://m.media-amazon.com/images/I/31Czfm+KFwL.jpg,276611,width,64cm
374,374,https://m.media-amazon.com/images/I/31D0mqjJbmL.jpg,599772,width,7.0 in / 17.8 cm
381,381,https://m.media-amazon.com/images/I/31DOXzkNKSL.jpg,292475,width,4.7 in / 12 cm
387,387,https://m.media-amazon.com/images/I/31DThunqDhL.jpg,810266,width,14cm（5.5in)
391,391,https://m.media-amazon.com/images/I/31DmuvUrq-L.jpg,478357,width,100 cm
394,394,https://m.media-amazon.com/images/I/31DvN4cwQUL.jpg,846116,width,LLM maybe
400,400,https://m.media-amazon.com/images/I/31E2Za-l0aL.jpg,667819,width,LLM maybe
404,404,https://m.media-amazon.com/images/I/31EALe-kFOL.jpg,640408,width,7.9cm
409,409,https://m.media-amazon.com/images/I/31EM4A8ItRL.jpg,453674,width,"23,5cmBoden"
413,413,https://m.media-amazon.com/images/I/31ESGvgb7nL.jpg,830996,width,135mm
425,425,https://m.media-amazon.com/images/I/31Ewj0PXNdL.jpg,501250,width,LLM maybe
427,427,https://m.media-amazon.com/images/I/31FA-kVKufL.jpg,347404,width,11cm
431,431,https://m.media-amazon.com/images/I/31FEqYvWC+S.jpg,276611,width,63cm
433,433,https://m.media-amazon.com/images/I/31FG7liSrFS.jpg,594224,width,10cm/3.9inch
435,435,https://m.media-amazon.com/images/I/31FSOnHzONL.jpg,347404,width,3.9in /10cm
438,438,https://m.media-amazon.com/images/I/31FW4wk2iyL.jpg,658003,width,20cm/7.87inch
439,439,https://m.media-amazon.com/images/I/31FXdO0GMRL.jpg,231838,width,LLM maybe
449,449,https://m.media-amazon.com/images/I/31FwzRkbbVL.jpg,478357,width,28cm
450,450,https://m.media-amazon.com/images/I/31G1y-GxcEL.jpg,478357,width,61cm
452,452,https://m.media-amazon.com/images/I/31G7epMfOJL.jpg,142748,width,88cm
453,453,https://m.media-amazon.com/images/I/31G9bxJzX1L.jpg,276611,width,120cm 口
454,454,https://m.media-amazon.com/images/I/31GBPN94J4L.jpg,241608,width,"101 cm(39.8"")"
463,463,https://m.media-amazon.com/images/I/31GKLavjhUL.jpg,154981,width,60 cm
474,474,https://m.media-amazon.com/images/I/31GxLDza1BL.jpg,276611,width,"60 cm(23.6"")"
476,476,https://m.media-amazon.com/images/I/31GzBqi4wLL.jpg,488883,width,LLM maybe
478,478,https://m.media-amazon.com/images/I/31H-iAPesuL.jpg,810266,width,11cm(4.3in）
482,482,https://m.media-amazon.com/images/I/31HApDlSQjS.jpg,311997,width,60 cm
483,483,https://m.media-amazon.com/images/I/31HBk40RLYL.jpg,478357,width,57cm
484,484,https://m.media-amazon.com/images/I/31HJ1AfCIgL.jpg,752266,width,LLM maybe
488,488,https://m.media-amazon.com/images/I/31HN4Cts-DL.jpg,913156,width,3.9in/10.0cm
491,491,https://m.media-amazon.com/images/I/31HOaPtWAGS.jpg,276611,width,80 cm
492,492,https://m.media-amazon.com/images/I/31HU1reGu2L.jpg,180726,width,LLM maybe
497,497,https://m.media-amazon.com/images/I/31HVh9jcCuL.jpg,231838,width,1.41in/3.6cm
502,502,https://m.media-amazon.com/images/I/31HdbJNq5pL.jpg,396159,width,12 in
507,507,https://m.media-amazon.com/images/I/31HkazRRetL.jpg,296275,width,一一 2”
509,509,https://m.media-amazon.com/images/I/31HmJQwLPTL.jpg,952470,width,LLM maybe
513,513,https://m.media-amazon.com/images/I/31I2yf8JvVL.jpg,311997,width,"40cm（15.7"")"
